paper_id,title,authors,year,doi,has_pdf,FINAL_reason
7,Shared Genetic Risk in the Association of Screen Time With Psychiatric Problems in Children.,,2023,10.1001/jamanetworkopen.2023.41502,True,at least one criterion UNKNOWN with PDF
36,Associations of Screen Time and Physical Activity With Body Mass Index in Early Adolescence: A Prospective Cohort Study.,,2026,10.1002/oby.70181,True,at least one criterion UNKNOWN with PDF
77,"Associations Between Adverse Childhood Experiences, Adolescent Screen Time and Physical Activity During the COVID-19 Pandemic.",,2022,10.1016/j.acap.2022.07.007,True,at least one criterion UNKNOWN with PDF
84,The association between screen time and cognitive function in children: The partially mediating role of putamen volume.,,2026,10.1016/j.actpsy.2026.106742,True,at least one criterion UNKNOWN with PDF
87,Associations between sexual orientation and early adolescent screen use: findings from the Adolescent Brain Cognitive Development (ABCD) Study.,,2023,10.1016/j.annepidem.2023.03.004,True,at least one criterion UNKNOWN with PDF
97,Impact of digital screen media activity on functional brain organization in late childhood: Evidence from the ABCD study.,,2023,10.1016/j.cortex.2023.09.009,True,at least one criterion UNKNOWN with PDF
110,Longer screen time utilization is associated with the polygenic risk for Attention-deficit/hyperactivity disorder with mediation by brain white matter microstructure.,,2022,10.1016/j.ebiom.2022.104039,True,at least one criterion UNKNOWN with PDF
130,The Pandemic's Toll on Young Adolescents: Prevention and Intervention Targets to Preserve Their Mental Health.,,2022,10.1016/j.jadohealth.2021.11.023,True,at least one criterion UNKNOWN with PDF
135,"Risk Assessment of Maladaptive Behaviors in Adolescents: Nutrition, Screen Time, Prenatal Exposure, Childhood Adversities - Adolescent Brain Cognitive Development Study.",,2025,10.1016/j.jadohealth.2023.08.033,True,at least one criterion UNKNOWN with PDF
141,Sociodemographic Correlates of Contemporary Screen Time Use among 9- and 10-Year-Old Children.,,2022,10.1016/j.jpeds.2021.08.077,True,at least one criterion UNKNOWN with PDF
158,Social epidemiology of bedtime screen use behaviors and sleep outcomes in early adolescence.,,2025,10.1016/j.sleh.2025.05.005,True,at least one criterion UNKNOWN with PDF
160,Screen time and suicidal behaviors among U.S. children 9-11Â years old: A prospective cohort study.,,2023,10.1016/j.ypmed.2023.107452,True,at least one criterion UNKNOWN with PDF
168,"Screen time, problematic media use, and clinical concerns in the ABCD Study: Differences by sex and race/ethnicity.",,2025,10.1017/s0954579425100655,True,at least one criterion UNKNOWN with PDF
179,One-year predictions of delayed reward discounting in the adolescent brain cognitive development study.,,2022,10.1037/pha0000532,True,at least one criterion UNKNOWN with PDF
183,Social epidemiology of early adolescent problematic screen use in the United States.,,2022,10.1038/s41390-022-02176-8,True,at least one criterion UNKNOWN with PDF
184,Associations between media parenting practices and early adolescent screen use.,,2025,10.1038/s41390-024-03243-y,True,at least one criterion UNKNOWN with PDF
202,"ACEs, Problematic Social Media Use, and Emotional/Behavioral Dysregulation Among ABCD",,2025,10.1080/01612840.2025.2559062,True,at least one criterion UNKNOWN with PDF
295,"Extracurricular Activities, Screen Media Activity, and Sleep May Be Modifiable Factors Related to Children's Cognitive Functioning: Evidence From the ABCD Study",,2021,10.1111/cdev.13578,True,at least one criterion UNKNOWN with PDF
385,"Longitudinal changes in screen time, sleep, and sports/exercise activity in early adolescence.",,2025,10.1186/s12887-025-06368-z,True,at least one criterion UNKNOWN with PDF
429,24-Hour Movement Behaviors and Impulsivity.,,2019,10.1542/peds.2019-0187,True,at least one criterion UNKNOWN with PDF
444,The effect of caffeine use in the relationship between gaming and sleep in adolescents: AÂ mediation analysis.,,2025,10.1556/2006.2025.00076,True,at least one criterion UNKNOWN with PDF
