paper_id,doi,title,first_author,year,journal,has_pdf,FINAL_REASON
306,10.1111/jcpp.14179,Trajectories of psychotic-like experiences in youth and associations with lifestyle factors.,"Cooper, Rebecca",2026.0,"Journal of child psychology and psychiatry, and allied disciplines",0,Criteria UNKNOWN (usually no PDF; retrieval pending)
123,10.1016/j.jaacop.2026.02.003,Social Media Usage and Its Association With the Social Media Addiction Scale Among Early Adolescents,Jacob C. Hermann,2026.0,JAACAP Open,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
314,10.1111/jsr.70325,Neural Sensitivity to Social Media Use: Implications for Sleep Duration in Adolescents.,"Kiss, Orsolya",2026.0,Journal of sleep research,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
380,10.1177/10445463251415488,Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study.,"Koleilat, Rawan",2026.0,Journal of child and adolescent psychopharmacology,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
83,10.1016/j.acap.2025.103164,Neighborhood Quality and Screen Use: Findings From the Adolescent Brain Cognitive Development Study.,"Nagata, Jason M",2026.0,Academic pediatrics,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
154,10.1016/j.psychres.2025.116523,"Adolescent smartphone use, sleep, and physical activity: daily associations between sensor-based measures in the adolescent brain cognitive development (ABCD) study.","Alexander, Jordan D",2025.0,Psychiatry research,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
13,10.1001/jamapediatrics.2025.1718,Role of Sleep and White Matter in the Link Between Screen Time and Depression in Childhood and Early Adolescence.,"Lima Santos, JoÃ£o Paulo",2025.0,JAMA pediatrics,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
305,10.1111/jcpp.14155,"Sexual and gender minority identity, peer victimization, and suicidality in adolescents: AÂ mediation study using the ABCD Study.","Liu, Sen",2025.0,"Journal of child psychology and psychiatry, and allied disciplines",0,Criteria UNKNOWN (usually no PDF; retrieval pending)
238,10.1093/sleepadvances/zpaf019,"Preliminary findings on caffeine intake, screen time, social factors, and psychological well-being: their impact on chronotype and sleep health in Hispanic adolescents.","Wallace, Alexander L",2025.0,Sleep advances : a journal of the Sleep Research Society,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
27,10.1002/eat.24169,Prospective association of screen time with binge-eating disorder among adolescents in the United States: The mediating role of depression.,"Al-Shoaibi, Abubakr A A",2024.0,The International journal of eating disorders,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
162,10.1016/s2215-0366(20)30049-3,Risk and protective factors for childhood suicidality: a US population-based study.,"Janiri, Delfina",2020.0,The lancet. Psychiatry,1,Criteria UNKNOWN (usually no PDF; retrieval pending)
164,10.1016/s2352-4642(18)30278-5,Associations between 24 hour movement behaviours and global cognition in US children: a cross-sectional observational study.,"Walsh, Jeremy J",2018.0,The Lancet. Child & adolescent health,1,Criteria UNKNOWN (usually no PDF; retrieval pending)
394,10.1186/s12889-024-20102-x?os=io....&ref=app,Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study,JM Nagata,,Springer,1,Criteria UNKNOWN (usually no PDF; retrieval pending)
303,10.1111/jcpp.13608,Multiâlevel predictors of depression symptoms in the Adolescent Brain Cognitive Development (ABCD) study,TC Ho,,Wiley Online Library,0,Criteria UNKNOWN (usually no PDF; retrieval pending)
